channel_id,channel_name,videos,visualizaciones,comentarios,autores_unicos
UC-YGRGi0FeIA5441bGlHOPw,audioschileros,1,70811,0,0
UCH4M_4Ed6SUidQthmZ60M2g,Manuel Pedrero,1,62941,0,0
UCP1YKuLnn1WhzrkxCv1LILQ,Fortuna Latina,1,58881,0,0
UC_Lj2naQPP8vmyDu-AEOo-w,Nuestro Mundo,1,55349,0,0
UC_lEiu6917IJz03TnntWUaQ,CNN en Español,2,41466,0,0
UCGSQ821fpPy-yXL9mUmKbBg,TanGente Podcast,3,37978,0,0
UCoVACVT8WitFTc_Ok5yhYlg,Tras la Verdad SV,1,36701,0,0
UCdHETJl6cR5dye5XxEyqycQ,El profe de Historia Gt,2,32831,0,0
UCN5tcDI7z6vN9s3p3n_JtoQ,Jorge Ramos,1,31357,0,0
UC-DpoeBbCMOMOH1-j71KPqA,México Poder,1,29736,0,0
UCaFyLdpZa60tkGfjOsznHSg,AlcaldexAccidente,1,29419,0,0
UCKu8ZkS9vriCetFagAGIMXA,VIVA GUATEMALA,1,27111,0,0
UC-rcR68a-aLwAnszxTG4--A,Panda 01,1,25431,0,0
UCfMjuFkpFo_QAWtvQqR2EHQ,De viaje con Migue,2,17160,0,0
UC8mJT9xUcwgEM1vaMaruysw,República TV,1,16786,0,0
UC2EbdGoJZwR_WvkmB0i4rMg,Alexis Burelo,1,15747,0,0
UCLXHie0velori7_dqu8w_bQ,Presidencia de la República,1,15726,0,0
UCTClcvXaWXGeZheUQFTQLRw,Gente de Guate,1,15482,0,0
UCInL6HZez6Qn8IHV8Achhxw,Carlos Pineda,2,11847,0,0
UCmzHLdcizBNiyN5t2mEPp3A,Tráfico Sin Censura,1,8502,0,0
UCHBzKtCUFwHuKFGD3bEHexQ,Entre Caminos,1,8098,0,0
UCDvpZGLyno6g-bi-wwYq4wQ,Somos El Combo,1,7340,0,0
UCzwR2o8LFAgAMfO0KIcFh0A,CANALES ROBOS Y MENTIRAS 💰🧐,2,7105,0,0
UCH1AYkCs1GpNK_xUwFYTsaQ,Cronos Time GT,3,7046,0,0
UClivsn4u-h1uJkORB6PD9SQ,Vittor Blogs,1,6682,0,0
UCDaIW3kDab95q7iCSeVAnbQ,Guatevisión,3,6498,0,0
UCAutgrPkiLhZxTB-Ujje1fw,CIV -Ministerio de Comunicaciones,11,5881,0,0
UCeMAsS36ZiA56ZNtS8VSuOg,Un Angel Viajando,1,5298,0,0
UCquHy3UnphbYGF62_j6W_yQ,Mosca Visión,1,5262,0,0
UCT4Jg8h03dD0iN3Pb5L0PMA,DW Español,1,5171,0,0
UCaivrAhro2BpsJdrPe-IyRg,Diario de Centro América,11,4769,0,0
UCmoP9Lvc92Bsl4Vu90kv9GQ,InfoGT Noticias,1,4725,0,0
UCnbd_gs8-e1CQ6izIYtnSig,PROVIAL GUATEMALA,1,4419,0,0
UCCM52vmXEcGzRlYyjP47PPg,Chris & Grace,1,3897,0,0
UC1B5-Dun1FHWae_rIJdfhow,Ahora Yose,1,3631,0,0
UC-GLagjBhWAZ3IOWFgzqIAw,Canal Antigua,5,3305,0,0
UC_nkMVSKgO9PeEaZ3LbPodg,21KMuniGuate,1,3110,0,0
UCwlb2TaG9ywiD6uhHWTy-qg,SUM Estudios Jurídicos.,1,2895,0,0
UCq0Cm-3SKthEySQc2JZBi1A,T13 Noticias Guatemala,2,2557,0,0
UC6XLvudi9BWjAzCR-6KAHiw,carlos del cid,1,2482,0,0
UC6ZUGqkstVjgNPvxtb90d8A,CHAPINISIMO,1,2326,0,0
UCBQ9OCZNvmC--OH_e-qGGiA,PFNSE MEDIA,1,2291,0,0
UCW_PHqwqCCalvQGOEsVU0jw,Concejales de Oposición - Muni Guate,10,2106,0,0
UCdd624oESXuVlcGtrzMWEBQ,heto009,1,2054,0,0
UC6SA1dVHvAkc6yNS_t5cbGw,Conred,8,1693,0,0
UCvegRo82EipXUzAHQXZmr4A,MundoHistoria,1,1420,0,0
UCrAoF9-9Vvb9_zK0t-m2Rhg,La Hora,3,1153,0,0
UCuKuUrmHoNaJJHE27Aac9PQ,PROVIAL-CIV,7,1138,0,0
UCBn6Y-Y3kCAQqYXHaMIjEVw,Centro Municipal de Emprendimiento MuniGuate,1,528,0,0
UC96TdbkzdlngA9hT1XNzJkw,Fralis Maxiel Martinez,1,512,0,0
UCzQX0cEQzCZ4ff9-P3gELug,Carlitos Gamboa,1,509,0,0
UCSQM9AVr3rr7_GF8RH5KFGw,Guate Maya Trip,1,383,0,0
UC7G_DpDtzHv0wbGJvvFCrNg,Mdpls2,1,367,0,0
UCwkVsH8aIOco3U_Fu7-UW5w,AztecaGuate,1,289,0,0
UCbKjY2f2sGaghyrIeqjZvmg,ALIS MOLINA CREA,1,255,0,0
UCJJ071vIw7Bu8lJmXfiVrKw,Ministerio de Finanzas Públicas Guatemala,1,222,0,0
UCJcN367ge_Yo1p7b20_KSaA,Canal 3 Guatemala,1,215,0,0
UCiQAWoQNcuKIAvCCFQC54UQ,Ministerio de Comunicaciones Infraestructura y Vivienda,1,211,0,0
UC7PbHMtfWgBFZ_SSZ8iRhQg,Noticias-FA-Gt,1,164,0,0
UCuc8l25EFE17DV8dD64d2AQ,HeX4EveR,1,148,0,0
UCFu4dCls6GPdTvgIeE9wjOA,Cucurucho en Guatemala,1,128,0,0
UCgItjn_ZWFWcv1MlpKIkqgQ,IDocumenta,7,125,0,0
UC_ONTY8RI6b-VqB-dhQ5qBQ,Camarita Castro GT,1,84,0,0
UClgawHgsbqN6Nuok7ds-Szw,INSIVUMEH,1,79,0,0
UCgRLnesCOuua3-JgFlzdS2w,TRAYECTORIA Y EXITO CON ANABELLA CORDON,1,74,0,0
UCMJ_FUWKr7PyXfvY55BdGZg,La Red 1061,1,60,0,0
UCyGWWWpmAP5AReA_o8bhaRg,MESCOGT,1,58,0,0
UCWYeiFUCO0SW6BxZ8aPxVTw,Vicepresidencia Guate,1,48,0,0
UCYaCfDw7q5l_S1UHjdfzODQ,INFOM TV,1,23,0,0
UCBDxkiJk5id4TIOa1FotGUA,La Coma,1,21,0,0
UCedKfsLot_SfwJrfW5OzpPg,Dionel.Art_music,1,7,0,0
UCzPhFkpD8lwvlX8nGpJqdUw,Noticias VR,1,3,0,0
UCX2epzWFbtqhO1Tn2au9NXQ,luis arturo ceberg ulban,1,2,0,0
UCoXuxT5_LclvcoCeFoS_iUw,Campus TV,1,2,0,0
