node_id,id_original,etiqueta,comunidad_aa
autor::UCbNanjFI51cwGqMAb2rOrBw,UCbNanjFI51cwGqMAb2rOrBw,@RosaMontesdeOca777,1
autor::UCbYoNG5J3Au5BqtbXogfEFw,UCbYoNG5J3Au5BqtbXogfEFw,@Luis-gn3fj,0
autor::UCbrtvygfRT6QXqWDNrOf-cA,UCbrtvygfRT6QXqWDNrOf-cA,@Alejandro00710,11
autor::UCcFIBN-rtC3d3hXeuN5TfWw,UCcFIBN-rtC3d3hXeuN5TfWw,@DenisRMC,11
autor::UCc_F88PzGWtA1OPNUEASulA,UCc_F88PzGWtA1OPNUEASulA,@rockyscarlet,11
autor::UCcfdg8crmMJwEuLUsAhV7yg,UCcfdg8crmMJwEuLUsAhV7yg,@RolandoRaguay,3
autor::UCdFlugHJJa4l3YqWuNRmvXw,UCdFlugHJJa4l3YqWuNRmvXw,@MarcosCarillo-b1r,8
autor::UCdQAuWwyC99MB7Y02Umj26Q,UCdQAuWwyC99MB7Y02Umj26Q,@miguelbran1268,11
autor::UCe8JZoYkX5oKUZyivHYdXhw,UCe8JZoYkX5oKUZyivHYdXhw,@FernandoGarcia-jg1fj,8
autor::UCeDNEtI8_a42bZ47wJiJMwQ,UCeDNEtI8_a42bZ47wJiJMwQ,@EdgarcalderonCalderong,8
autor::UCeQk-WfEA-cJRq4EKeE7TOw,UCeQk-WfEA-cJRq4EKeE7TOw,@franciscojuarez9223,0
