node_id,tipo,etiqueta,handle,comentarios,videos_unicos,canales_unicos,sentimiento_medio,visualizaciones,autores_unicos,categoria,id_original,componente,grado
autor::UC8r11yOugM2NuRfitQOxLLg,autor,@cesaraugustomoralesmonroy6907,/@cesaraugustomoralesmonroy6907,1,1.0,1.0,0.0,,,,UC8r11yOugM2NuRfitQOxLLg,1,1
autor::UC8xlJWNHz1V_W6q3fbuQH8g,autor,@NormaLópez-v7e,/@NormaL%C3%B3pez-v7e,1,1.0,1.0,1.0,,,,UC8xlJWNHz1V_W6q3fbuQH8g,1,1
autor::UC95PSMouTx2N5CbSq0hIyrQ,autor,@lisss1908,/@lisss1908,1,1.0,1.0,0.0,,,,UC95PSMouTx2N5CbSq0hIyrQ,1,1
autor::UC9Wp6vL5oCU37qC3Aj94WZA,autor,@ManuelSanchez-b8q2z,/@ManuelSanchez-b8q2z,1,1.0,1.0,1.0,,,,UC9Wp6vL5oCU37qC3Aj94WZA,1,1
autor::UC9vMq1YF-e7C-VO0SHkbUTA,autor,@ErvinLeonardoCarreraLatín,/@ErvinLeonardoCarreraLat%C3%ADn,4,1.0,1.0,0.0,,,,UC9vMq1YF-e7C-VO0SHkbUTA,1,1
autor::UC9xr9QvIcDvoZNUX5f-jaZw,autor,@MariaaliciaColonmorales,/@MariaaliciaColonmorales,1,1.0,1.0,0.0,,,,UC9xr9QvIcDvoZNUX5f-jaZw,1,1
autor::UCA93ym2TXs_Ibyxb4Vcn-6Q,autor,@oswaldosolis8728,/@oswaldosolis8728,1,1.0,1.0,0.0,,,,UCA93ym2TXs_Ibyxb4Vcn-6Q,1,1
autor::UCAKuKvcbfnBD3kF5njNu-IA,autor,@melvinlopez7096,/@melvinlopez7096,1,1.0,1.0,1.0,,,,UCAKuKvcbfnBD3kF5njNu-IA,1,1
autor::UCAV7QIjYhbDJaycQycM_0eQ,autor,@mariavail8998,/@mariavail8998,1,1.0,1.0,0.0,,,,UCAV7QIjYhbDJaycQycM_0eQ,1,1
autor::UCAlzM_N6xBlMYmM8EBzX86Q,autor,@carlossoto3252,/@carlossoto3252,1,1.0,1.0,1.0,,,,UCAlzM_N6xBlMYmM8EBzX86Q,1,1
autor::UCAmtbUiIrUIhikru0ZoTFig,autor,@Aura-vf6dm,/@Aura-vf6dm,1,1.0,1.0,0.0,,,,UCAmtbUiIrUIhikru0ZoTFig,1,1
autor::UCAxvOOHQk7dYPOajzFEVtbA,autor,@ruddydepaz322,/@ruddydepaz322,2,1.0,1.0,0.0,,,,UCAxvOOHQk7dYPOajzFEVtbA,1,1
autor::UCB5p8a5gklc80jJItP6xTHg,autor,@ernestogamboa8737,/@ernestogamboa8737,1,1.0,1.0,0.0,,,,UCB5p8a5gklc80jJItP6xTHg,1,1
autor::UCBlm80VQ4YoV3bUJR_XhkaQ,autor,@rosadiaz6945,/@rosadiaz6945,2,1.0,1.0,0.0,,,,UCBlm80VQ4YoV3bUJR_XhkaQ,2,1
autor::UCBtB5dIyx-C16UN8ClUD2UA,autor,@alexmonzon4257,/@alexmonzon4257,1,1.0,1.0,0.0,,,,UCBtB5dIyx-C16UN8ClUD2UA,1,1
autor::UCCBYcToQ2dwkd6TJh0FSyDg,autor,@lidiarodriguez3493,/@lidiarodriguez3493,1,1.0,1.0,0.0,,,,UCCBYcToQ2dwkd6TJh0FSyDg,1,1
autor::UCCUmP4PlbwgikVFpYwbtRTg,autor,@alhvi,/@alhvi,1,1.0,1.0,1.0,,,,UCCUmP4PlbwgikVFpYwbtRTg,1,1
autor::UCCaYwkkbQGcvFoUmothVdQQ,autor,@OsvaldoAguirre-l3i,/@OsvaldoAguirre-l3i,1,1.0,1.0,1.0,,,,UCCaYwkkbQGcvFoUmothVdQQ,1,1
autor::UCDIMztpVm7G27qBuiWuT6oQ,autor,@lizardomorataya8274,/@lizardomorataya8274,1,1.0,1.0,0.0,,,,UCDIMztpVm7G27qBuiWuT6oQ,1,1
autor::UCDPWkUX3sNNaCx-m1dV4glA,autor,@hectoroliva949,/@hectoroliva949,1,1.0,1.0,-1.0,,,,UCDPWkUX3sNNaCx-m1dV4glA,1,1
autor::UCDQaQv0hr2SS_PO-CMEwVHg,autor,@federicosaquimux1933,/@federicosaquimux1933,1,1.0,1.0,1.0,,,,UCDQaQv0hr2SS_PO-CMEwVHg,1,1
autor::UCDUffaruH6dyUnUGwsTKpgg,autor,@luisletona2842,/@luisletona2842,1,1.0,1.0,0.0,,,,UCDUffaruH6dyUnUGwsTKpgg,1,1
autor::UCDftMWXQoJ6nONfY7GVOVjg,autor,@luisgpacheco5858,/@luisgpacheco5858,1,1.0,1.0,0.0,,,,UCDftMWXQoJ6nONfY7GVOVjg,1,1
autor::UCDlr1VadSucIZgZ171pRBjQ,autor,@cuabatzjj5924,/@cuabatzjj5924,1,1.0,1.0,0.0,,,,UCDlr1VadSucIZgZ171pRBjQ,1,1
autor::UCDrmf9y9nLgFY5wnA2hTuGA,autor,@laboratorio5528,/@laboratorio5528,1,1.0,1.0,1.0,,,,UCDrmf9y9nLgFY5wnA2hTuGA,1,1
autor::UCEHXl4VvvVpq-_4xC5tsbhg,autor,@anibalg47,/@anibalg47,1,1.0,1.0,0.0,,,,UCEHXl4VvvVpq-_4xC5tsbhg,1,1
autor::UCEgEQmRbtL5fwr9_DqAC--g,autor,@ArielRodas-g5y,/@ArielRodas-g5y,1,1.0,1.0,0.0,,,,UCEgEQmRbtL5fwr9_DqAC--g,1,1
autor::UCErZPJpHmLCsXs8ZWkAUupQ,autor,@dorisl.garciaroche7763,/@dorisl.garciaroche7763,1,1.0,1.0,0.0,,,,UCErZPJpHmLCsXs8ZWkAUupQ,1,1
autor::UCFFrEmn6lPYiWyElpfzTy5Q,autor,@denilsonlopez4083,/@denilsonlopez4083,1,1.0,1.0,0.0,,,,UCFFrEmn6lPYiWyElpfzTy5Q,1,1
autor::UCFOxCyF926Y9eHhMeVoWLzw,autor,@arielsarc09,/@arielsarc09,1,1.0,1.0,0.0,,,,UCFOxCyF926Y9eHhMeVoWLzw,3,1
autor::UCFUuDARXdmmIrLppEqf-rFg,autor,@allanmunoz7410,/@allanmunoz7410,1,1.0,1.0,0.0,,,,UCFUuDARXdmmIrLppEqf-rFg,1,1
autor::UCFhxtoeARHPnXXPcDrOU3Xg,autor,@diegoalejandrolopezmendez205,/@diegoalejandrolopezmendez205,1,1.0,1.0,0.0,,,,UCFhxtoeARHPnXXPcDrOU3Xg,1,1
autor::UCFjudnPLoaSL1BaRuLahyHg,autor,@HaroldoCastillo-rh9iw,/@HaroldoCastillo-rh9iw,3,1.0,1.0,0.0,,,,UCFjudnPLoaSL1BaRuLahyHg,1,1
autor::UCFoIAE8k82D6AV-8gjjKaNg,autor,@eddymunoz9789,/@eddymunoz9789,1,1.0,1.0,1.0,,,,UCFoIAE8k82D6AV-8gjjKaNg,1,1
autor::UCFxE8GbokBrBsPEKM1xrOjQ,autor,@JuanDavila-qd7qj,/@JuanDavila-qd7qj,1,1.0,1.0,-1.0,,,,UCFxE8GbokBrBsPEKM1xrOjQ,1,1
autor::UCFybmWapGvBKcQod7cPPH9w,autor,@vitalianochavez8382,/@vitalianochavez8382,1,1.0,1.0,0.0,,,,UCFybmWapGvBKcQod7cPPH9w,1,1
