author_channel_id,author_name,author_handle,comentarios,videos_unicos,canales_unicos,me_gusta_recibidos,respuestas_recibidas,sentimiento_medio
UC-jS_kA9w-OmpupXDx156Rg,@simoncreyesc7579,/@simoncreyesc7579,1,1,1,2,0,0.0
UC-pNP6RMFuLg_-x7Ah_0kEA,@almacatalan2717,/@almacatalan2717,1,1,1,5,0,0.0
UC094EFEmMSdwVa8NQjjYBXg,@CelestinoQuej-j7k,/@CelestinoQuej-j7k,1,1,1,0,0,0.0
UC0HvfEWozTHbwl_iEmJNvVA,@OttoPalencia-b7r,/@OttoPalencia-b7r,1,1,1,3,0,-1.0
UC0RpuMwkDKJYqgKHtsJRuWQ,@sabinamarinaguerra3248,/@sabinamarinaguerra3248,1,1,1,113,1,1.0
UC0aEyakBPqcBkVJiErfSupQ,@jhonymanuel9891,/@jhonymanuel9891,1,1,1,70,0,0.0
UC14qlobYKqD-DO0j6b75lcA,@megavision4488,/@megavision4488,1,1,1,0,0,1.0
UC1DpqK6vaPEkBOMNvypsKYg,@HectorCarranza-u4j4o,/@HectorCarranza-u4j4o,1,1,1,0,0,-1.0
UC1NiEdJ7gk6FlDexIalWnGg,@BorisTebalán,/@BorisTebal%C3%A1n,1,1,1,0,0,1.0
UC1WlJfQmaIskYhP4gmWoamw,@marthareiss5434,/@marthareiss5434,1,1,1,2,1,0.0
UC1Y7x3h0c95Z8kUhi-Tzaeg,@rosadiaz9235,/@rosadiaz9235,1,1,1,0,0,0.0
UC1vr9aaMI2crB0NvwFHUeoQ,@JoseSimilox-p6e,/@JoseSimilox-p6e,1,1,1,0,0,1.0
UC2Y_EHWQKevubk4vOEBBFxw,@alfonsomorales2653,/@alfonsomorales2653,1,1,1,1,0,0.0
UC2ngpd8UBQu4gcUYy0goAtg,@juliohernandez7438,/@juliohernandez7438,1,1,1,0,0,-1.0
UC2weSE8rpqkGMOp6StYtVfg,@katerynsantiago2907,/@katerynsantiago2907,1,1,1,1,0,1.0
UC32oozucwCF3q8d4m8fyOUg,@RauldejesusOlivagonzalez,/@RauldejesusOlivagonzalez,1,1,1,0,0,0.0
UC3E9mAgP7VoAE5mZoAexl5g,@EnnioAroche,/@EnnioAroche,1,1,1,0,0,0.0
UC3MYTqpQqlWBuCB7Th0e0PA,@isaaclopez7220,/@isaaclopez7220,1,1,1,4,0,1.0
UC3NMzdMYryaw82kPTnsaljg,@marisosa7832,/@marisosa7832,1,1,1,0,0,0.0
UC3UVO7pTbeYvZ3ILEyRDskQ,@rosaelenaargueta79,/@rosaelenaargueta79,1,1,1,1,0,0.0
UC3YpzAr7pcdKC7BVFEpYzog,@carmenfigueroa1232,/@carmenfigueroa1232,1,1,1,4,1,-1.0
UC3iIU62XKUOWuqL8BqBzj9A,@antonioduarte2288,/@antonioduarte2288,1,1,1,0,0,0.0
UC3qn1yJA5PeW9rkGPatQxiw,@VICTOREST19,/@VICTOREST19,1,1,1,7,0,0.0
UC4Avya4kmR4Q0FrfFdBozSQ,@davidlima1348,/@davidlima1348,1,1,1,11,0,0.0
UC4cXueR2bKGFJV0Fk76gwmA,@aluxdel4792,/@aluxdel4792,1,1,1,0,0,0.0
UC4kg7zuTfqQKLd2bkZrSYBA,@zoilagarcia9019,/@zoilagarcia9019,1,1,1,0,0,0.0
UC4wq3DcbfaG6dtCqn8Oyu3w,@hugoasencio7764,/@hugoasencio7764,1,1,1,1,0,0.0
UC5PrBbmUlQolwqmiru7yZhw,@lazarochavez8269,/@lazarochavez8269,1,1,1,0,1,1.0
UC5PyGvSfFM--OVKmQ3COu6g,@FreddyGmez,/@FreddyGmez,1,1,1,3,0,0.0
UC5bG9nc_JV3FsNP2KseQiYw,@giovannirodas4836,/@giovannirodas4836,1,1,1,2,0,0.0
UC5fvhAfm89JH8eDFdvc0xYw,@isaidiaz2388,/@isaidiaz2388,1,1,1,0,0,0.0
